gov_id,gov_name,old_hubs,hub_count
us:place:4752006,"Nashville-Davidson, TN",nashville|nashville-davidson-county-tn|nashville-davidson-tn,3
us:county:44001,"Bristol County, RI",bristol-county-ri|bristol-ri|bristol-town-ri,3
us:county:06055,"Napa County, CA",county-of-napa-ca|napa-county-ca,2
us:place:2938000,"Kansas City, MO",kansas-city|kansas-city-mo,2
us:place:5553000,"Milwaukee, WI",milwaukee|milwaukee-wi,2
us:place:2148006,"Louisville/Jefferson County, KY",louisville-jefferson-county-ky|louisville-ky,2
us:county:06071,"San Bernardino County, CA",county-of-san-bernardino-ca|san-bernardino-county-ca,2
us:county:32003,"Clark County, NV",clark-county-nv|county-of-clark,2
us:county:53033,"King County, WA",king-county|king-county-wa,2
us:county:06085,"Santa Clara County, CA",county-of-santa-clara-ca|santa-clara-county-ca,2
us:county:06081,"San Mateo County, CA",county-of-san-mateo-ca|san-mateo-county-ca,2
us:county:06041,"Marin County, CA",county-of-marin-ca|marin-county-ca,2
us:place:5107784,"Blacksburg, VA",blacksburg-va|town-of-blacksburg,2
us:place:0808675,"Brighton, CO",brighton|brighton-co,2
us:place:0608954,"Burbank, CA",burbank|burbank-ca,2
us:place:0812415,"Castle Rock, CO",castle-rock-co|town-of-castle-rock,2
us:place:1225175,"Gainesville, FL",gainesville|gainesville-fl,2
us:county:27053,"Hennepin County, MN",county-of-hennepin-mn|hennepin-county-mn,2
us:county:15003,"City and County of Honolulu, HI",city-and-county-of-honolulu-hi|honolulu,2
us:county:24027,"Howard County, MD",howard-county|howard-county-council,2
us:cousub:3610337000,"Huntington Town, NY",huntington-town-ny|town-of-huntington,2
rtr:us:ca:judicial-council-of-california,"Judicial Council of California, CA",california|judicial-council-of-california-ca,2
rtr:us:ca:los-angeles-county-metropolitan-transportation-authority,"Los Angeles County Metropolitan Transportation Authority, CA",los-angeles-county-ca|los-angeles-county-metropolitan-transportation-authority-ca,2
us:place:0453700,"Payson, AZ",payson-az|town-of-payson,2
us:place:1256625,"Pinecrest, FL",pinecrest-fl|village-of-pinecrest-fl,2
us:place:0662000,"Riverside, CA",riverside|riverside-ca,2
us:place:0669084,"Santa Clara, CA",santa-clara|santa-clara-ca,2
us:county:53057,"Skagit County, WA",county-of-skagit-wa|skagit-county-wa,2
us:place:1263000,"St. Petersburg, FL",st-petersburg|st-petersburg-fl,2
rtr:us:tx:tarrant-county-college-district,"Tarrant County College District, TX",tarrant-county-college-district-tx|tarrant-county-tx,2
us:cousub:4209179008,"Upper Dublin Township, PA",upper-dublin-pa|upper-dublin-township-pa,2
us:state:51,State of Virginia,state-of-virginia|virginia,2
us:place:1275812,"Wellington, FL",village-of-wellington-fl|wellington-fl,2
us:place:0685922,"Windsor, CA",town-of-windsor|windsor-ca,2
us:place:5138424,"Hopewell, VA",hopewell-borough-va|hopewell-va,2
